std,sem,image,chapterno,chaptername,category,map,englishtb,englishtba,hinditb,hinditba,marathitb,marathitba,gujratitb,gujratitba,urdutb,urdutba,n,na,wb,wba
4,1,,The lifecycle of animals,,,,,,,,,,,,,,,,,
4,2,,The interrelationships between living things,,,,,,,,,,,,,,,,,
4,4,,Water safe for drinking,,,,,,,,,,,,,,,,,
4,5,,Water for every household,,,,,,,,,,,,,,,,,
4,7,,Food and nutrition,,,,,,,,,,,,,,,,,
4,8,,The value of food,,,,,,,,,,,,,,,,,
4,10,,Clothes,,,,,,,,,,,,,,,,,
4,11,,A look inside the body,,,,,,,,,,,,,,,,,
4,12,,Home remedies for simple illness,,,,,,,,,,,,,,,,,
5,1,,Our earth and our solar system,,,,,,,,,,,,,,,,,
5,2,,Motion of the earth,,,,,,,,,,,,,,,,,
5,3,,The earths and its living world,,,,,,,,,,,,,,,,,
5,4,,Environmetal Balance,,,,,,,,,,,,,,,,,
5,12,,Food for all,,,,,,,,,,,,,,,,,
5,13,,Method of preserving food,,,,,,,,,,,,,,,,,
5,16,,Water,,,,,,,,,,,,,,,,,
5,18,,The Environment and Us,,,,,,,,,,,,,,,,,
5,19,,Constituents of Food,,,,,,,,,,,,,,,,,
5,21,,Bust at work-Our Internal Organs,,,,,,,,,,,,,,,,,
5,22,,Growth and Personality Development,,,,,,,,,,,,,,,,,
5,23,,Infectious diseases and how to prevent them,,,,,,,,,,,,,,,,,
5,24,,"Substances, Objects and Energy",,,,,,,,,,,,,,,,,
5,25,,Community Health and Hygiene,,,,,,,,,,,,,,,,,
6,1,,"Natural Resources - Air, Water and Land",,,,,,,,,,,,,,,,,
6,2,,The Living World,,,,,,,,,,,,,,,,,
6,3,,Diversity in Living things and their Classification,,,,,,,,,,,,,,,,,
6,4,,Disaster Management,,,,,,,,,,,,,,,,,
6,5,,Substances in the surrounding - their states and properties,,,,,,,,,,,,,,,,,
6,6,,Substances in Daily use,,,,,,,,,,,,,,,,,
6,7,,Nutrition and diet,,,,,,,,,,,,,,,,,
6,8,,Our skeletal system and the skin,,,,,,,,,,,,,,,,,
6,9,,Motion and types of motion,,,,,,,,,,,,,,,,,
6,10,,Force and types of force,,,,,,,,,,,,,,,,,
6,11,,Work and Energy,,,,,,,,,,,,,,,,,
6,12,,Simple Machines,,,,,,,,,,,,,,,,,
6,13,,Sound,,,,,,,,,,,,,,,,,
6,14,,Light and the formation of shadows,,,,,,,,,,,,,,,,,
6,15,,Fun with Magnets,,,,,,,,,,,,,,,,,
6,16,,The Universe,,,,,,,,,,,,,,,,,
7,1,,The Living World: Adaptations and Classification ,,,,,,,,,,,,,,,,,
7,2,,Plants: Structure and Function ,,,,,,,,,,,,,,,,,
7,3,,Properties of Natural Resources ,,,,,,,,,,,,,,,,,
7,4,,Nutrition in Living Organisms ,,,,,,,,,,,,,,,,,
7,5,,Food Safety ,,,,,,,,,,,,,,,,,
7,6,,Measurement of Physical Quantities ,,,,,,,,,,,,,,,,,
7,7,,"Motion, Force and Work ",,,,,,,,,,,,,,,,,
7,8,,Static Electricity ,,,,,,,,,,,,,,,,,
7,9,,Heat ,,,,,,,,,,,,,,,,,
7,10,,Disaster Management ,,,,,,,,,,,,,,,,,
7,11,,Cell Structure and Micro-organisms ,,,,,,,,,,,,,,,,,
7,12,,The Muscular System and Digestive System in Human Beings ,,,,,,,,,,,,,,,,,
7,13,,Changes - Physical and Chemical ,,,,,,,,,,,,,,,,,
7,14,,"Elements, Compounds and Mixtures ",,,,,,,,,,,,,,,,,
7,15,,Materials We Use ,,,,,,,,,,,,,,,,,
7,16,,"Natural Resources - Air, Water and Land",,,,,,,,,,,,,,,,,
7,17,,Effects of Light ,,,,,,,,,,,,,,,,,
7,18,,Sound: Production of Sound ,,,,,,,,,,,,,,,,,
7,19,,Properties of a Magnetic Field ,,,,,,,,,,,,,,,,,
7,20,,In the World of Stars,,,,,,,,,,,,,,,,,
8,1,,Living World and Classification of Microbes ,,,,,,,,,,,,,,,,,
8,2,,Health and Diseases ,,,,,,,,,,,,,,,,,
8,3,,Force and Pressure ,,,,,,,,,,,,,,,,,
8,4,,Current Electricity and Magnetism ,,,,,,,,,,,,,,,,,
